timestamp,cripto,moeda_base,preco
2025-05-30 20:43:37.843433,ethereum,usd,2523.01
2025-05-30 20:43:37.843433,ethereum,eur,2223.38
2025-05-30 20:43:37.843433,solana,brl,895.5
2025-05-30 20:43:37.843433,solana,usd,156.42
2025-05-30 20:43:37.843433,solana,eur,137.84
2025-05-30 20:44:38.132598,bitcoin,brl,595149.0
2025-05-30 20:44:38.132598,bitcoin,usd,103956.0
2025-05-30 20:44:38.132598,bitcoin,eur,91610.0
2025-05-30 20:44:38.132598,ethereum,brl,14443.68
2025-05-30 20:44:38.132598,ethereum,usd,2522.91
2025-05-30 20:44:38.132598,ethereum,eur,2223.29
2025-05-30 20:44:38.132598,solana,brl,895.63
2025-05-30 20:44:38.132598,solana,usd,156.44
2025-05-30 20:44:38.132598,solana,eur,137.86
2025-05-30 20:45:38.231873,bitcoin,brl,595149.0
2025-05-30 20:45:38.231873,bitcoin,usd,103956.0
2025-05-30 20:45:38.231873,bitcoin,eur,91610.0
2025-05-30 20:45:38.231873,ethereum,brl,14443.68
2025-05-30 20:45:38.231873,ethereum,usd,2522.91
2025-05-30 20:45:38.231873,ethereum,eur,2223.29
2025-05-30 20:45:38.231873,solana,brl,895.63
2025-05-30 20:45:38.231873,solana,usd,156.44
2025-05-30 20:45:38.231873,solana,eur,137.86
2025-05-30 20:46:38.549754,bitcoin,brl,595173.0
2025-05-30 20:46:38.549754,bitcoin,usd,103960.0
2025-05-30 20:46:38.549754,bitcoin,eur,91614.0
2025-05-30 20:46:38.549754,ethereum,brl,14442.32
2025-05-30 20:46:38.549754,ethereum,usd,2522.68
2025-05-30 20:46:38.549754,ethereum,eur,2223.08
2025-05-30 20:46:38.549754,solana,brl,895.81
2025-05-30 20:46:38.549754,solana,usd,156.47
2025-05-30 20:46:38.549754,solana,eur,137.89
2025-05-30 20:47:38.687208,bitcoin,brl,595173.0
2025-05-30 20:47:38.687208,bitcoin,usd,103960.0
2025-05-30 20:47:38.687208,bitcoin,eur,91614.0
2025-05-30 20:47:38.687208,ethereum,brl,14442.32
2025-05-30 20:47:38.687208,ethereum,usd,2522.68
